38 Provinsi,Persentase Tenaga Kerja Formal Menurut Provinsi (Persen),,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
ACEH,42.83,40.42,40.56,42.88,38.12,39.31,38.55,40.14
SUMATERA UTARA,40.02,42,43.43,45,40.38,40.67,40.93,41.48
SUMATERA BARAT,38.2,35.61,36.06,37.87,33.72,35.23,34.74,35.81
RIAU,46.37,47.3,45.05,47.78,44.03,45.43,45.98,47.87
JAMBI,37.91,41.47,43.55,42.94,37.26,37.99,40.02,40.27
SUMATERA SELATAN,39.29,37.6,38.78,39.48,34.74,35.84,36.72,37.03
BENGKULU,34.08,33.61,31.16,34.88,30.77,31.84,32.46,32.23
LAMPUNG,29.9,29.71,29.21,31.51,27.74,28.69,28.49,29.33
KEP. BANGKA BELITUNG,44.43,51.62,49.57,53.18,47.07,49.07,50.37,48.93
KEP. RIAU,66.2,68.51,68.22,70.43,64.59,64.8,63.68,66.33
DKI JAKARTA,68.71,71.55,69.85,68.65,61.78,61.74,63.12,63.77
JAWA BARAT,51.36,50.22,51.79,49.8,44.41,45.39,45.39,44.85
JAWA TENGAH,37.83,39.71,39.33,42.01,37.25,39.62,39.84,39.61
DI YOGYAKARTA,45.09,43.45,45.55,48.36,42.59,44.64,46.62,46.22
JAWA TIMUR,37.88,38.65,38.12,39.36,36.36,37.36,36.14,36.89
BANTEN,61.51,58.07,56.01,57.86,50.83,51.13,52.04,53.69
BALI,45.68,50.2,50.62,50.54,43.31,42.9,46.57,47.65
NUSA TENGGARA BARAT,26.89,26.38,28.19,28.98,26.53,26.11,24.64,27.7
NUSA TENGGARA TIMUR,25.2,24.14,24.35,27.74,23.9,24.03,24.76,25.49
KALIMANTAN BARAT,38.19,38.57,40.45,39.89,36.99,39.13,41.23,40.31
KALIMANTAN TENGAH,41.35,45.67,47.63,48.98,44.2,44.5,48.5,48.14
KALIMANTAN SELATAN,37.81,38.98,39.92,43.18,39.18,40.37,42.7,44.75
KALIMANTAN TIMUR,55.25,59.96,58.84,58.24,52.86,53.51,55.74,55.33
KALIMANTAN UTARA,56.98,57.76,57.05,53.31,49.07,49.26,51,48.62
SULAWESI UTARA,38.68,44.54,44.39,45.19,39.54,39.3,40.85,41.86
SULAWESI TENGAH,33.55,31.94,33.34,37.03,32.63,32.68,32.13,33.9
SULAWESI SELATAN,35.11,37.63,36.68,39.45,35.78,36.76,36.45,37.23
SULAWESI TENGGARA,31.47,36.29,36.91,37.45,35.41,37.19,37.61,38.16
GORONTALO,39.69,39.49,38.22,41.34,37.88,37.61,35.03,36.27
SULAWESI BARAT,29.85,31.58,25.31,28.09,27.37,27.2,22.75,26.65
MALUKU,35.76,37.18,35.63,38.02,33.44,35.59,36.7,34.58
MALUKU UTARA,35.97,38.05,33.08,38.31,33.87,36.44,34.37,33.92
PAPUA BARAT,40.57,40.9,45.7,47.75,42.02,42.08,39.72,41.45
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-
PAPUA,21.63,21.81,21.89,20.71,20.08,19.53,15.89,15.57
PAPUA SELATAN,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-
INDONESIA,42.4,42.97,43.02,44.12,39.53,40.55,40.69,40.89
,,,,,,,,
Catatan,<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Sumber: Survei Angkatan Kerja Nasional (Sakernas)<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />,,,,,,,